"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.031262,0.021426,0.0058854,1.8108e-05,0.00059035,0.00032091,0,0,0.058246,-0.0062947,0,0.00706,0,0,0,0.0059029,6.0818e-07,0.00059035,3.1214,0.0021646,0.0056306,8.8302e-09,0.34,0.02,0
0.032396,0.02251,0.0055818,2.28e-05,0.00056046,0.0002974,0,0,0.055235,-0.0059143,0,0.0065428,0,0,0,0.0055977,6.9349e-06,0.00056046,3.0536,0.002055,0.0053356,7.5189e-09,0.36,0.02,0
0.033472,0.023538,0.0053019,2.7311e-05,0.00053292,0.00026884,0,0,0.052458,-0.0055617,0,0.0059145,0,0,0,0.0053155,1.3644e-05,0.00053292,2.9103,0.001954,0.0050623,6.427e-09,0.38,0.02,0
0.034494,0.024507,0.0050495,3.0983e-05,0.00050805,0.00023583,0,0,0.049956,-0.0052477,0,0.0051883,0,0,0,0.0050606,1.9925e-05,0.00050805,2.6846,0.0018629,0.0048152,5.5358e-09,0.4,0.02,0
0.03547,0.025417,0.0048279,3.301e-05,0.00048609,0.00019977,0,0,0.04776,-0.0049839,0,0.004395,0,0,0,0.0048362,2.4701e-05,0.00048609,2.3816,0.0017823,0.0045982,4.8242e-09,0.42,0.02,0
0.036405,0.026269,0.0046386,3.2555e-05,0.00046711,0.00016292,0,0,0.045886,-0.0047802,0,0.0035843,0,0,0,0.0046443,2.6799e-05,0.00046711,2.0233,0.0017128,0.0044139,4.2687e-09,0.44,0.02,0
0.037305,0.02707,0.004481,2.9041e-05,0.000451,0.00012827,0,0,0.04433,-0.0046416,0,0.002822,0,0,0,0.0044847,2.5348e-05,0.000451,1.649,0.0016537,0.0042625,3.844e-09,0.46,0.02,0
0.038178,0.027829,0.0043519,2.254e-05,0.00043744,9.9054e-05,0,0,0.043059,-0.0045639,0,0.0021792,0,0,0,0.0043541,2.0275e-05,0.00043744,1.31,0.001604,0.0041411,3.5227e-09,0.48,0.02,0
0.039028,0.028558,0.0042457,1.3995e-05,0.00042597,7.795e-05,0,0,0.042017,-0.0045317,0,0.0017149,0,0,0,0.0042471,1.2559e-05,0.00042597,1.0549,0.0015619,0.0040437,3.2766e-09,0.5,0.02,0
0.039859,0.029273,0.0041551,4.9754e-06,0.00041601,6.633e-05,0,0,0.04113,-0.0045214,0,0.0014593,0,0,0,0.0041562,3.9155e-06,0.00041601,0.91542,0.0015254,0.0039623,3.0788e-09,0.52,0.02,0
0.040673,0.029989,0.0040724,-2.9914e-06,0.00040694,6.3947e-05,0,0,0.040321,-0.0045093,0,0.0014068,0,0,0,0.0040735,-3.9945e-06,0.00040694,0.89872,0.0014921,0.0038883,2.9058e-09,0.54,0.02,0
0.041472,0.030721,0.0039904,-9.1066e-06,0.00039813,6.9342e-05,0,0,0.039515,-0.0044796,0,0.0015255,0,0,0,0.0039916,-1.0308e-05,0.00039813,0.99298,0.0014598,0.0038141,2.7399e-09,0.56,0.02,0
0.042254,0.03148,0.0039031,-1.3494e-05,0.00038896,8.0685e-05,0,0,0.038655,-0.004427,0,0.0017751,0,0,0,0.0039047,-1.5155e-05,0.00038896,1.1797,0.0014262,0.0037343,2.5692e-09,0.58,0.02,0
0.043018,0.032278,0.0038057,-1.6803e-05,0.00037889,9.6517e-05,0,0,0.037695,-0.0043526,0,0.0021234,0,0,0,0.0038082,-1.9238e-05,0.00037889,1.4455,0.0013893,0.0036447,2.3868e-09,0.6,0.02,0
0.043761,0.03312,0.0036946,-1.9561e-05,0.00036751,0.00011596,0,0,0.036598,-0.0042577,0,0.0025512,0,0,0,0.0036982,-2.3178e-05,0.00036751,1.7865,0.0013475,0.0035423,2.1895e-09,0.62,0.02,0
0.044482,0.034011,0.0035665,-2.1777e-05,0.00035447,0.0001384,0,0,0.035332,-0.0041388,0,0.0030448,0,0,0,0.0035718,-2.7106e-05,0.00035447,2.2055,0.0012997,0.0034241,1.9759e-09,0.64,0.02,0
0.045175,0.034951,0.0034189,-2.3003e-05,0.00033958,0.00016296,0,0,0.033872,-0.0039885,0,0.0035851,0,0,0,0.0034265,-3.0701e-05,0.00033958,2.7047,0.0012451,0.0032878,1.7475e-09,0.66,0.02,0
0.045837,0.035939,0.00325,-2.274e-05,0.00032273,0.00018827,0,0,0.0322,-0.0038001,0,0.004142,0,0,0,0.0032608,-3.3536e-05,0.00032273,3.2817,0.0011833,0.0031314,1.5085e-09,0.68,0.02,0
0.046463,0.03697,0.0030597,-2.0819e-05,0.00030389,0.00021261,0,0,0.030314,-0.0035718,0,0.0046774,0,0,0,0.0030743,-3.5423e-05,0.00030389,3.9296,0.0011143,0.0029547,1.2662e-09,0.7,0.02,0
0.047049,0.038035,0.0028492,-1.7519e-05,0.00028317,0.00023428,0,0,0.028226,-0.0033075,0,0.0051541,0,0,0,0.0028682,-3.6539e-05,0.00028317,4.6414,0.0010383,0.0027588,1.0298e-09,0.72,0.02,0
0.047592,0.039124,0.0026209,-1.342e-05,0.00026075,0.00025204,0,0,0.025962,-0.0030159,0,0.0055448,0,0,0,0.0026448,-3.7316e-05,0.00026075,5.4161,0.00095609,0.0025462,8.0882e-10,0.74,0.02,0
0.048087,0.040225,0.0023784,-9.1682e-06,0.00023692,0.00026528,0,0,0.023556,-0.002707,0,0.0058362,0,0,0,0.0024075,-3.8288e-05,0.00023692,6.2643,0.00086872,0.0023205,6.114e-10,0.76,0.02,0
0.048534,0.041326,0.0021253,-5.3037e-06,0.000212,0.00027407,0,0,0.021046,-0.0023903,0,0.0060295,0,0,0,0.00216,-3.9994e-05,0.000212,7.2138,0.00077732,0.0020854,4.4295e-10,0.78,0.02,0
0.048929,0.042414,0.0018651,-2.2173e-06,0.00018629,0.00027897,0,0,0.018467,-0.0020736,0,0.0061373,0,0,0,0.0019059,-4.3003e-05,0.00018629,8.3177,0.00068307,0.001845,3.0583e-10,0.8,0.02,0
0.049273,0.043476,0.001601,-1.6322e-07,0.00016008,0.00028094,0,0,0.01585,-0.0017627,0,0.0061806,0,0,0,0.0016489,-4.8024e-05,0.00016008,9.6683,0.00058698,0.001603,1.9959e-10,0.82,0.02,0
0.049563,0.0445,0.0013351,7.0446e-07,0.00013358,0.00028116,0,0,0.013217,-0.0014616,0,0.0061855,0,0,0,0.0013919,-5.6117e-05,0.00013358,11.425,0.00048979,0.0013631,1.2163e-10,0.84,0.02,0
0.049801,0.045475,0.0010685,2.8713e-07,0.00010688,0.00028098,0,0,0.010578,-0.0011725,0,0.0061815,0,0,0,0.0011379,-6.9112e-05,0.00010688,13.874,0.00039189,0.0011293,6.7961e-11,0.86,0.02,0
0.049987,0.046392,0.00080133,-1.5321e-06,7.9979e-05,0.00028184,0,0,0.0079348,-0.00089663,0,0.0062005,0,0,0,0.00089039,-9.0591e-05,7.9979e-05,17.536,0.00029326,0.00090779,3.3895e-11,0.88,0.02,0
0.050119,0.047239,0.00053256,-5.016e-06,5.2755e-05,0.00028533,0,0,0.0052779,-0.00063548,0,0.0062772,0,0,0,0.00065577,-0.00012822,5.2755e-05,23.355,0.00019343,0.00071099,1.4506e-11,0.9,0.02,0
0.050198,0.048009,0.00026032,-1.0824e-05,2.495e-05,0.00029339,0,0,0.0025891,-0.00039351,0,0.0064546,0,0,0,0.00044795,-0.00019845,2.495e-05,32.599,9.1484e-05,0.00056863,4.7678e-12,0.92,0.02,0
0.050222,0.048689,-1.6667e-05,-2.0477e-05,-3.7145e-06,0.00030815,0,0,-0.00014248,-0.00018439,0,0.0067794,0,0,0,0.00028959,-0.00032673,-3.7145e-06,44.823,-1.362e-05,0.00053396,-6.5203e-13,0.94,0.02,0
0.050192,0.049267,-0.00029063,-3.7512e-05,-3.2814e-05,0.00033256,0,0,-0.0028359,-5.1681e-05,0,0.0073164,0,0,0,0.00019176,-0.0005199,-3.2814e-05,55.417,-0.00012032,0.00063014,-7.5658e-12,0.96,0.02,0
0.050109,0.049724,-0.00049158,-6.2938e-05,-5.5452e-05,0.00034385,0,0,-0.0047974,-8.2351e-05,0,0.0075646,0,0,0,0.00012791,-0.00068243,-5.5452e-05,60.968,-0.00020332,0.000736,-1.6271e-11,0.98,0.02,0
