"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.032474,0.031072,0.0093047,8.8641e-06,0.0027941,0.0027466,0,0,0.0084638,-0.0036208,0,0.0071411,0,0,0,0.010056,-0.00074209,0.0027941,15.289,0.0040359,0.009535,2.4763e-08,0.52,0.34,0
0.032643,0.031784,0.0093136,0.00016298,0.002843,0.0026929,0,0,0.0084118,-0.003484,0,0.0070016,0,0,0,0.010047,-0.00057074,0.002843,15.24,0.0041065,0.0093889,2.4342e-08,0.54,0.34,0
0.032811,0.032493,0.0092986,0.00029633,0.0028785,0.0026599,0,0,0.0083461,-0.0033568,0,0.0069158,0,0,0,0.010026,-0.00043091,0.0028785,15.291,0.0041578,0.009257,2.3886e-08,0.56,0.34,0
0.032977,0.033199,0.0092703,0.00039528,0.0028997,0.0026395,0,0,0.0082818,-0.0032557,0,0.0068626,0,0,0,0.009996,-0.00033039,0.0028997,15.372,0.0041884,0.0091495,2.3454e-08,0.58,0.34,0
0.033142,0.033903,0.0092386,0.00045018,0.0029066,0.002621,0,0,0.0082316,-0.0031934,0,0.0068147,0,0,0,0.009961,-0.00027215,0.0029066,15.407,0.0041985,0.0090715,2.308e-08,0.6,0.34,0
0.033306,0.034604,0.0092068,0.00046348,0.0029011,0.0025988,0,0,0.0081975,-0.0031689,0,0.0067568,0,0,0,0.0099209,-0.00025063,0.0029011,15.365,0.0041905,0.0090187,2.2758e-08,0.62,0.34,0
0.03347,0.035302,0.009173,0.00044955,0.0028867,0.002573,0,0,0.0081721,-0.0031684,0,0.0066899,0,0,0,0.0098753,-0.00025285,0.0028867,15.268,0.0041698,0.0089799,2.2455e-08,0.64,0.34,0
0.033633,0.035996,0.00914,0.00042708,0.0028701,0.0025492,0,0,0.0081508,-0.003176,0,0.0066279,0,0,0,0.009831,-0.00026397,0.0028701,15.167,0.0041457,0.0089495,2.2183e-08,0.66,0.34,0
0.033796,0.036687,0.0091394,0.00040368,0.0028629,0.0025349,0,0,0.0081594,-0.003197,0,0.0065907,0,0,0,0.0098219,-0.00027877,0.0028629,15.066,0.0041353,0.0089532,2.216e-08,0.68,0.34,0
0.03396,0.037374,0.0092682,0.00035418,0.0028867,0.0025341,0,0,0.0082959,-0.0032923,0,0.0065886,0,0,0,0.0099412,-0.0003188,0.0028867,14.825,0.0041697,0.0090915,2.3137e-08,0.7,0.34,0
0.034128,0.038057,0.0095948,0.00018354,0.0029335,0.002541,0,0,0.0086597,-0.003575,0,0.0066066,0,0,0,0.010248,-0.00046984,0.0029335,14.27,0.0042373,0.0094872,2.643e-08,0.72,0.34,0
0.034306,0.038736,0.0094765,0.00038386,0.0029581,0.0024997,0,0,0.011614,-0.0036611,0,0.0099937,0,0,0,0.01015,-0.0002892,0.0029581,15.428,0.0042728,0.0092653,3.1647e-08,0.74,0.34,0
0.034585,0.03951,0.0095575,0.0011451,0.0032108,0.0023424,0,0,0.023058,-0.0049845,0,0.017637,0,0,0,0.010225,0.00047778,0.0032108,16.433,0.0046378,0.0087328,4.4404e-08,0.76,0.34,0
